VendorNumber,VendorName,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,total_Quantity,total_spend,unit_cost_incl_freight,avg_payment_days,margin_percent,risk_score,risk_band,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
98450,Serralles Usa LLC,14.8311,20.8025,976.56,10463,168993.61000000034,10607.0,204150.92999999414,19.2468,16430.92,856.02,10463,169849.63000000006,16.2334,36.35,32.94,0.292,LOW,35157.31999999381,17.221239207675822,1.0137627831405907,1.2080393453929632
7749,R.P.IMPORTS INC,42.2004,50.7101,753.33,498,18776.86999999999,1038.0,54266.61999999988,52.28,115.7,91.5,498,18868.37,37.8883,37.19,33.44,0.286,LOW,35489.74999999988,65.39885845110672,2.0843373493975905,2.8900780588031925
9165,ULTRA BEVERAGE COMPANY LLP,15.81,51.2969,766.38,1077527,13210613.9300029,1043235.0,17822938.450066723,17.0843,310243.81,68054.7,1077527,13278668.63,12.3233,35.69,33.45,0.276,LOW,4612324.520063823,25.878586367707264,0.9681752754223328,1.3491377875776596
5455,MARSALLE COMPANY,27.508,29.09,750.0,7158,185311.19000000137,6640.0,215253.59999999384,32.4177,5019.4,937.21,7158,186248.40000000002,26.0196,36.02,26.14,0.276,LOW,29942.409999992466,13.910294647798374,0.9276334171556301,1.1615790713987226
1703,ALISA CARR BEVERAGES,98.8103,85.1775,726.56,438,34951.67999999999,1062.0,118167.38000000015,111.2687,118.59,172.0,438,35123.68,80.1911,37.79,33.85,0.263,LOW,83215.70000000016,70.42188800327133,2.4246575342465753,3.380878401267126
7239,REMY COINTREAU USA INC,30.5684,109.7344,869.44,142363,3354958.2800000315,135195.0,4294875.050007087,31.768,114003.51,16978.67,142363,3371936.950000001,23.6855,35.55,26.5,0.242,LOW,939916.7700070557,21.88461268519336,0.9496498387923828,1.2801575136150567
8112,MOET HENNESSY USA INC,29.6899,185.0063,764.62,427867,9472995.200000718,424251.0,13546931.060032733,31.9314,191770.03,48347.26,427867,9521342.459999997,22.253,35.44,30.79,0.234,LOW,4073935.8600320145,30.072758486616014,0.9915487756709445,1.430057840632254
4425,MARTIGNETTI COMPANIES,11.0814,38.8703,783.85,2640411,27861690.02000456,2581318.0,41047306.29976941,15.9017,756323.75,144929.24,2637275,27966193.830000006,10.6042,36.78,35.17,0.206,LOW,13185616.27976485,32.12297582567293,0.9776197720733628,1.4732525654508983
1128,BROWN-FORMAN CORP,18.2985,34.7541,808.18,1006122,13529433.07999683,983853.0,18478557.470036257,18.7818,766237.86,68601.68,1006122,13598034.760000002,13.5153,36.16,27.1,0.206,LOW,4949124.390039427,26.78306679547165,0.977866501279169,1.3658042699037163
17035,PERNOD RICARD USA,18.6058,31.8904,859.2,1647558,24124091.560002074,1613460.0,32281247.94983703,20.0075,1498865.94,123780.22,1647558,24247871.78,14.7175,36.07,27.22,0.195,LOW,8157156.389834955,25.269024303244557,0.9793039152491142,1.3381332047072638
3664,WILLIAM GRANT & SONS INC,25.6884,135.5229,807.06,302685,5960744.349999236,283313.0,7635828.270024665,26.9519,261087.06,30234.42,302685,5990978.770000001,19.7928,36.64,26.48,0.133,LOW,1675083.9200254288,21.937160721662195,0.9359994713976576,1.2810192522391342
